Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
ZINC01013299,-30.6268,4.99295,8.66894,-5.67356,0,0,-24.7892,745.175,0,0.518533,6,0.453978,0.660529,0.339471,2632,599,673,23,357,83,93,4,189,45,46,2,0,0,0,0,0,0,0,0,63,17,21,1,0,0,0,0,0,0,0,0,0,0,0,0,46.0,10.0,15.0,13.0,11.0,2.0,-48253.4429725,3.0,27.0,2.0,0.0,0.0,0.0,-2.2,54.64,0.08,73.81,577.99,0
ZINC00666178,-21.5145,3.41746,8.58144,-2.60594,0,0,-15.7041,631.93,0,0.585648,4,0.535089,0.732986,0.267014,1997,479,515,19,189,48,48,2,383,94,101,4,0,0,0,0,0,0,0,0,158,37,38,2,0,0,0,0,0,0,0,0,0,0,0,0,38.0,0.0,10.0,10.0,0.0,1.0,64154.1514085,1.0,20.0,0.0,0.0,1.0,0.0,-4.5,52.79,0.23,76.99,544.92,0
ZINC00624691,-17.4807,9.96892,9.27674,1.1641,0,0,-3.66291,586.017,0,0.495928,3,0.523531,0.629924,0.370076,1493,361,367,12,320,73,77,3,253,58,62,2,0,0,0,0,0,0,0,0,190,45,48,2,0,0,0,0,42,12,13,0,0,0,0,0,33.0,0.0,5.0,17.0,0.0,0.0,135522.431308,1.0,9.0,0.0,0.0,0.0,0.0,-4.1,46.27,0.12,64.11,478.73,0
ZINC08435162,-31.8168,6.28423,9.75154,-2.69889,0,0,-23.0312,802.02,0,0.613731,4,0.499337,0.701094,0.298906,2300,527,612,18,0,0,0,0,339,80,96,3,0,0,0,0,0,0,0,0,200,43,59,2,0,0,0,0,356,87,94,4,0,0,0,0,29.0,23.0,3.0,4.0,16.0,0.0,-3643.975987,1.0,25.0,0.0,0.0,0.0,0.0,-2.3,64.11,0.12,52.60,669.91,0
ZINC01801792,-28.6937,5.18803,10.245,-4.47104,0,-0.664203,-20.9466,696.939,2,0.58155,4,0.503092,0.628355,0.371645,2352,562,613,19,251,62,63,3,317,72,81,3,0,0,0,0,0,0,0,0,157,35,44,1,0,0,0,0,0,0,0,0,0,0,0,0,60.0,4.0,6.0,11.0,0.0,0.0,-73105.2606173,4.0,24.0,0.0,0.0,0.0,0.0,-5.5,60.02,0.07,63.49,576.58,0
ZINC00633953,-24.3371,2.93869,12.9536,-0.928486,0,0,-12.4406,675.802,0,0.543198,5,0.532877,0.71147,0.28853,1629,395,414,18,470,115,123,5,201,51,51,2,0,0,0,0,0,0,0,0,94,23,22,1,163,39,40,2,0,0,0,0,0,0,0,0,26.0,0.0,8.0,9.0,0.0,1.0,34018.2011546,0.0,17.0,0.0,0.0,0.0,0.0,-6.1,47.14,0.47,88.91,600.80,0
ZINC00868901,-29.7527,4.69856,8.57998,-2.80237,0,0,-23.5823,647.145,0,0.604045,3,0.499805,0.653957,0.346043,1862,459,489,19,179,46,50,2,468,117,122,5,0,0,0,0,0,0,0,0,78,20,22,1,99,24,25,0,0,0,0,0,0,0,0,0,56.0,4.0,8.0,16.0,0.0,4.0,51587.8342196,1.0,22.0,0.0,0.0,0.0,0.0,-6.2,57.19,0.15,97.64,546.80,0
ZINC00880467,-23.6355,3.18445,12.1138,-9.26344,0,-1.95346,-22.5762,617.268,2,0.530189,3,0.49502,0.673763,0.326237,1505,367,405,14,392,91,101,4,422,108,113,5,0,0,0,0,0,0,0,0,0,0,0,0,112,25,29,1,176,43,48,2,0,0,0,0,52.0,2.0,16.0,9.0,1.0,2.0,-353990.765899,4.0,18.0,1.0,0.0,0.0,0.0,-3.6,61.12,0.12,125.28,504.50,0
ZINC08438162,-26.637,6.55609,8.25364,-5.21943,0,0,-20.8508,608.8,0,0.586154,1,0.551892,0.712468,0.287532,2182,543,547,23,223,61,55,3,397,90,96,4,0,0,0,0,0,0,0,0,189,46,47,2,0,0,0,0,0,0,0,0,0,0,0,0,36.0,0.0,2.0,18.0,0.0,0.0,-240726.472977,1.0,15.0,0.0,0.0,0.0,0.0,-3.8,59.08,0.12,71.44,606.78,0
ZINC08439048,-28.67,3.74231,14.7259,-6.35866,0,-2.6652,-22.2729,896.884,3,0.530784,4,0.4685,0.648113,0.351887,2634,563,701,26,618,143,156,5,364,75,96,4,0,0,0,0,0,0,0,0,279,63,82,3,0,0,0,0,0,0,0,0,0,0,0,0,52.0,15.0,12.0,7.0,4.0,0.0,91427.1701535,4.0,24.0,0.0,0.0,1.0,0.0,-7.1,72.86,0.15,140.99,743.88,0
ZINC08433311,-23.9337,4.18501,8.68879,-4.50224,0,0,-20.3064,669.698,0,0.593638,2,0.506872,0.741301,0.258699,1789,461,509,20,391,96,104,4,263,64,72,3,0,0,0,0,0,0,0,0,127,27,31,1,0,0,0,0,29,7,8,0,0,0,0,0,39.0,0.0,5.0,9.0,0.0,0.0,52895.5264055,0.0,22.0,0.0,0.0,1.0,0.0,-3.4,51.60,0.14,74.24,524.16,0
ZINC00617102,-16.1746,2.8601,7.01994,-4.8796,0,-0.748145,-14.9892,405.916,1,0.575441,1,0.532058,0.636646,0.363354,1014,241,265,8,336,86,94,4,81,20,24,0,0,0,0,0,0,0,0,0,50,16,15,1,0,0,0,0,0,0,0,0,0,0,0,0,58.0,0.0,0.0,10.0,0.0,0.0,-235865.777565,1.0,18.0,0.0,0.0,1.0,1.0,-9.3,29.79,0.10,94.03,313.94,0
ZINC00646442,-26.0612,19.4511,8.69508,-4.42213,0,0,-12.5355,702.22,0,0.604844,5,0.494186,0.712841,0.287159,2208,545,592,22,678,161,179,7,95,23,23,1,87,21,23,1,0,0,0,0,82,20,23,1,0,0,0,0,0,0,0,0,0,0,0,0,27.0,3.0,15.0,28.0,1.0,2.0,-17605.8790066,1.0,21.0,0.0,0.0,0.0,0.0,-5.9,57.61,0.17,94.54,601.62,0
ZINC00645531,-24.1885,4.90884,4.91227,-1.91921,0,0,-19.9249,536.992,0,0.600433,4,0.54275,0.751355,0.248645,1702,416,463,19,261,63,73,3,306,75,78,3,0,0,0,0,0,0,0,0,98,25,27,1,0,0,0,0,0,0,0,0,42,13,13,0,38.0,0.0,2.0,18.0,0.0,2.0,60173.9693084,1.0,25.0,0.0,0.0,0.0,0.0,-3.4,48.88,0.16,71.62,485.71,0
ZINC00976267,-23.8524,25.2108,10.5814,1.43335,0,0,1.00129,708.428,0,0.565043,5,0.491113,0.640111,0.359889,1836,468,457,19,324,79,81,3,186,55,46,2,0,0,0,0,0,0,0,0,172,44,42,2,0,0,0,0,0,0,0,0,0,0,0,0,34.0,0.0,12.0,21.0,0.0,0.0,-83079.1648994,0.0,19.0,0.0,0.0,1.0,0.0,-2.7,50.83,0.27,92.08,592.28,0
ZINC08437631,-28.954,4.83957,7.85554,-3.56251,0,0,-23.8989,794.084,0,0.602176,2,0.47456,0.675702,0.324298,2422,573,630,25,360,93,99,4,404,105,109,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,2.0,23.0,20.0,5.0,3.0,-70460.3184454,1.0,35.0,1.0,0.0,0.0,0.0,-7.9,61.83,0.21,117.44,667.03,0
ZINC08434850,-19.0587,4.39713,5.80168,-1.57893,0,0,-14.4612,523.996,0,0.560983,0,0.621753,0.668847,0.331153,2041,523,524,18,282,74,75,4,132,34,34,1,0,0,0,0,0,0,0,0,136,37,38,2,0,0,0,0,0,0,0,0,0,0,0,0,39.0,0.0,0.0,10.0,0.0,0.0,2042.01518759,0.0,14.0,0.0,0.0,1.0,0.0,-7.6,52.46,0.25,47.10,640.55,0
ZINC08435326,-32.623,5.95265,12.47,-3.88971,0,0,-21.7285,714.028,0,0.615264,3,0.507039,0.667267,0.332733,2579,600,672,21,347,79,88,2,162,40,42,2,0,0,0,0,0,0,0,0,126,26,30,1,128,31,36,0,0,0,0,0,0,0,0,0,62.0,5.0,14.0,12.0,3.0,4.0,-186246.492757,1.0,25.0,0.0,0.0,0.0,0.0,-5.0,57.57,0.19,47.36,639.54,0
ZINC00881552,-27.2354,7.9313,6.54813,-3.96053,0,0,-21.3935,689.585,0,0.596287,4,0.543626,0.664628,0.335372,2323,566,595,22,307,73,75,3,348,83,87,2,0,0,0,0,0,0,0,0,72,20,21,1,0,0,0,0,0,0,0,0,0,0,0,0,38.0,1.0,6.0,22.0,0.0,1.0,13418.0306578,0.0,30.0,0.0,0.0,0.0,0.0,-6.1,57.13,0.16,85.62,631.41,0
ZINC01019683,-30.7677,4.57109,12.6735,-2.6977,0,0,-20.5515,675.779,0,0.593732,2,0.508609,0.755762,0.244238,1929,477,497,20,207,52,52,2,581,141,156,6,0,0,0,0,0,0,0,0,135,30,35,1,0,0,0,0,0,0,0,0,0,0,0,0,36.0,2.0,11.0,25.0,1.0,2.0,-30143.1973382,0.0,27.0,0.0,0.0,0.0,0.0,-6.6,53.77,0.19,105.17,559.25,0
