Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
ZINC08438223,-39.9247,13.1202,16.6114,-8.29153,0,0,-26.7192,878.908,0,0.681898,10,0.414611,0.559553,0.440447,3350,765,936,63,850,192,235,19,330,82,91,5,0,0,0,0,0,0,0,0,698,171,194,17,0,0,0,0,154,36,42,3,0,0,0,0,70.0,12.0,9.0,2.0,14.0,14.0,-33164.6964451,2.0,31.0,0.0,0.0,0.0,0.0,-2.6,59.39,0.15,96.87,600.46,0
ZINC08437904,-25.7508,7.24468,13.3665,1.32943,0,0,-8.31796,699.622,0,0.664331,8,0.470832,0.587007,0.412993,3368,824,1039,54,275,73,93,1,281,74,89,7,202,43,50,5,0,0,0,0,0,0,0,0,0,0,0,0,190,46,51,4,0,0,0,0,28.0,2.0,43.0,2.0,4.0,25.0,-465604.75657,3.0,14.0,0.0,0.0,0.0,1.0,-5.0,50.78,0.23,43.38,577.00,0
ZINC00147704,-21.8982,3.19072,7.42049,-2.60066,0,-1.6582,-17.6651,586.166,1,0.665049,5,0.425812,0.594727,0.405273,2318,536,634,52,158,35,43,4,643,143,179,14,211,48,57,5,0,0,0,0,156,37,43,4,190,45,50,4,0,0,0,0,0,0,0,0,82.0,4.0,0.0,1.0,1.0,1.0,11458.1007309,1.0,33.0,2.0,0.0,0.0,0.0,-2.9,49.95,0.14,64.63,410.98,0
ZINC08438103,-29.3184,3.46432,15.074,-4.6001,0,0,-18.1882,971.611,0,0.662133,12,0.364796,0.496376,0.503624,4953,1294,1571,54,619,156,205,11,336,80,101,5,0,0,0,0,0,0,0,0,150,40,47,1,0,0,0,0,0,0,0,0,0,0,0,0,11.0,8.0,24.0,10.0,10.0,24.0,-38084.4791735,1.0,21.0,0.0,0.0,2.0,0.0,.7,66.50,0.00,65.34,680.19,0
ZINC00857521,-25.0071,7.39055,10.029,-4.6627,0,0,-16.8166,740.994,0,0.647351,9,0.413988,0.571504,0.428496,3529,867,1049,61,0,0,0,0,1106,268,340,19,0,0,0,0,0,0,0,0,0,0,0,0,191,38,46,6,0,0,0,0,0,0,0,0,30.0,4.0,3.0,8.0,7.0,2.0,13566.0144197,0.0,17.0,0.0,0.0,0.0,0.0,-1.0,48.32,0.32,92.04,550.39,0
ZINC08438112,-35.6647,7.42586,13.5245,-0.902125,0,0,-20.5164,1085.32,0,0.640955,7,0.376928,0.55427,0.44573,5099,1253,1593,67,468,113,150,11,422,117,139,3,0,0,0,0,0,0,0,0,154,39,50,4,107,35,40,0,0,0,0,0,0,0,0,0,42.0,8.0,30.0,13.0,4.0,12.0,-71523.1784511,0.0,32.0,0.0,0.0,0.0,0.0,1.1,71.51,0.15,64.02,780.29,0
ZINC08439212,-33.5888,8.83658,10.1215,-7.71995,0,0,-27.669,833.224,0,0.661108,9,0.406622,0.516426,0.483574,4582,1058,1365,78,184,46,50,4,791,199,245,15,0,0,0,0,0,0,0,0,195,47,49,4,0,0,0,0,0,0,0,0,0,0,0,0,40.0,11.0,16.0,9.0,10.0,16.0,-127875.1295,1.0,30.0,0.0,0.0,0.0,0.0,.6,57.61,0.18,85.61,671.19,0
ZINC02237028,-25.0202,4.18998,10.2657,1.24078,0,0,-13.2892,900.821,0,0.668541,10,0.371068,0.54739,0.45261,3990,1004,1204,66,681,161,196,10,354,78,99,9,0,0,0,0,0,0,0,0,0,0,0,0,140,33,49,2,0,0,0,0,0,0,0,0,14.0,9.0,8.0,7.0,12.0,9.0,62361.3895911,0.0,18.0,0.0,0.0,0.0,0.0,.8,52.99,0.27,69.04,666.20,0
ZINC08439008,-30.2628,4.26165,21.0599,-15.0107,-2.32205,-0.542745,-25.8613,836.289,3,0.660153,10,0.415057,0.475225,0.524775,3840,971,1211,44,142,38,45,1,717,183,225,6,0,0,0,0,0,0,0,0,146,38,49,0,118,34,45,0,0,0,0,0,0,0,0,0,26.0,8.0,34.0,9.0,14.0,18.0,-196152.457258,3.0,17.0,0.0,0.0,0.0,0.0,1.6,61.22,0.19,76.82,653.97,0
ZINC08435282,-19.7378,2.38786,7.37677,-1.57041,0,-0.992356,-14.5668,782.398,1,0.648327,4,0.467748,0.515179,0.484821,3068,765,956,59,482,133,188,5,220,73,85,0,0,0,0,0,0,0,0,0,153,38,49,3,0,0,0,0,0,0,0,0,0,0,0,0,28.0,0.0,13.0,9.0,0.0,6.0,-47063.8870507,1.0,25.0,0.0,0.0,0.0,0.0,-2.8,30.72,0.67,67.23,655.49,0
