Name,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
ZINC08439395,-27.3524,8.87873,2.45302,-0.663915,0,0,-21.7468,688.911,0,0.694492,5,0.320162,0.783479,0.216521,3329,747,885,67,763,171,210,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,34.0,3.0,0.0,8.0,-27312.4008796,0.0,27.0,0.0,0.0,0.0,0.0,.7,26.35,0.33,86.97,401.87,0
ZINC00655537,-24.3918,5.21075,0.872696,0.606799,0,0,-20.1997,678.51,0,0.664237,3,0.345622,0.806649,0.193351,2717,611,725,47,141,33,37,2,291,67,77,5,0,0,0,0,0,0,0,0,0,0,0,0,232,47,55,5,0,0,0,0,133,27,36,2,13.0,0.0,26.0,2.0,0.0,1.0,-16371.7305479,0.0,18.0,0.0,0.0,0.0,0.0,-.8,35.58,0.18,37.38,417.13,0
ZINC02071955,-26.3488,3.80123,6.69865,-3.5664,0,0,-22.4673,707.483,0,0.732253,6,0.472734,0.730178,0.269822,2759,626,707,45,288,63,73,5,928,202,233,16,0,0,0,0,0,0,0,0,73,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0.0,49.0,9.0,0.0,6.0,291.56033462,0.0,28.0,0.0,0.0,0.0,0.0,-6.3,60.16,0.10,127.52,560.68,0
ZINC00187217,-27.6493,17.8791,7.93687,-0.702803,0,-1.32856,-13.1078,724.364,1,0.619268,7,0.372716,0.759761,0.240239,2427,531,625,40,947,222,253,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,45,58,5,0,0,0,0,0,0,0,0,18.0,0.0,61.0,1.0,0.0,16.0,-213509.206744,3.0,24.0,0.0,0.0,0.0,0.0,-2.6,38.47,0.12,48.45,429.35,0
ZINC06878590,-34.6858,8.42764,0.465734,-3.88289,0,0,-35.2668,835.494,0,0.690272,5,0.445144,0.778706,0.221294,3680,810,965,67,560,126,158,9,504,116,134,9,0,0,0,0,0,0,0,0,360,84,98,8,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0.0,58.0,6.0,0.0,7.0,5715.75302088,1.0,39.0,0.0,0.0,0.0,0.0,-3.3,56.73,0.23,82.52,639.15,0
ZINC00970786,-19.6974,3.38184,0.408154,-1.73951,0,0,-20.3672,691.811,0,0.661092,3,0.482598,0.735304,0.264696,2574,582,709,40,358,81,98,5,462,106,127,5,0,0,0,0,0,0,0,0,0,0,0,0,74,17,20,0,0,0,0,0,0,0,0,0,7.0,0.0,43.0,0.0,0.0,4.0,3031.81056819,1.0,17.0,0.0,0.0,0.0,0.0,-3.8,57.89,0.00,100.95,513.74,0
ZINC00907469,-30.3648,4.55267,8.81165,-3.1791,0,-1.06402,-24.7001,765.64,1,0.685404,4,0.361325,0.782626,0.217374,2955,638,767,55,919,214,252,15,117,26,34,2,537,113,128,10,0,0,0,0,162,36,46,2,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0.0,60.0,8.0,0.0,9.0,-140030.875375,2.0,19.0,0.0,0.0,0.0,0.0,-2.7,65.89,0.11,83.56,477.29,0
ZINC00149203,-31.1539,7.28142,-0.457796,-2.03618,0,-0.827241,-30.8111,759.723,1,0.713189,6,0.33997,0.809784,0.190216,3216,702,835,57,129,31,35,2,716,165,192,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,45.0,9.0,0.0,2.0,-2795.60502846,1.0,34.0,0.0,0.0,0.0,0.0,-4.0,39.48,0.26,64.63,496.64,0
ZINC02062480,-34.3373,7.72057,-0.394224,-4.34598,0,0,-36.5374,782.822,0,0.692897,6,0.494825,0.770074,0.229926,4196,953,1105,61,366,78,93,3,217,48,56,3,0,0,0,0,0,0,0,0,117,26,29,0,110,25,28,2,0,0,0,0,0,0,0,0,9.0,0.0,71.0,0.0,0.0,18.0,55923.2645247,3.0,40.0,0.0,0.0,0.0,0.0,-5.2,68.64,0.03,54.34,721.92,0
ZINC02068705,-32.2968,10.0483,10.1354,-9.70055,-1.91285,-0.876378,-30.3717,846.457,2,0.706092,7,0.416389,0.739646,0.260354,3035,676,787,42,448,101,119,9,911,201,243,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0.0,65.0,9.0,0.0,10.0,-171171.768187,3.0,32.0,0.0,0.0,0.0,0.0,-5.3,53.67,0.46,114.64,719.26,0
ZINC08438734,-25.0414,4.73006,2.74857,-2.54293,0,0,-22.495,776.518,0,0.689691,4,0.355991,0.77024,0.22976,3103,678,811,60,277,63,77,5,378,87,105,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0.0,19.0,2.0,0.0,4.0,-864.257219835,0.0,15.0,0.0,0.0,0.0,0.0,-4.9,29.95,0.53,70.50,523.12,0
ZINC00633668,-32.33,79.7241,2.22357,-1.41146,0,0,11.4327,814.163,0,0.649814,4,0.365624,0.802204,0.197796,3264,696,812,61,737,163,197,11,424,89,109,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0.0,64.0,2.0,0.0,7.0,-25479.9458069,0.0,49.0,0.0,0.0,0.0,0.0,-2.5,49.95,0.21,98.10,577.28,0
ZINC00887442,-30.7224,5.72176,10.3795,1.73653,0,0,-15.3392,780.427,0,0.715776,4,0.358412,0.754892,0.245108,2559,557,659,49,547,126,148,9,249,57,62,5,689,138,162,15,0,0,0,0,136,29,37,2,175,43,49,2,0,0,0,0,0,0,0,0,16.0,0.0,36.0,2.0,0.0,5.0,14476.7967411,0.0,16.0,0.0,0.0,0.0,0.0,-3.0,60.07,0.47,69.04,535.13,0
ZINC00856250,-31.6065,10.3612,-4.02897,-4.6891,0,-0.0340382,-34.789,823.872,1,0.691992,3,0.372595,0.773232,0.226768,3850,843,995,69,265,61,75,4,755,172,205,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0.0,55.0,4.0,0.0,5.0,61527.8282852,1.0,40.0,0.0,0.0,0.0,0.0,-3.2,56.76,0.12,92.91,559.81,0
ZINC02062344,-38.0811,8.9634,6.10972,-3.59281,0,0,-30.3259,846.022,0,0.701645,8,0.347793,0.732559,0.267441,3938,854,1020,76,366,85,96,7,330,80,94,5,0,0,0,0,0,0,0,0,200,48,54,3,163,34,37,4,0,0,0,0,0,0,0,0,13.0,0.0,53.0,3.0,0.0,18.0,55348.2641599,1.0,30.0,0.0,0.0,0.0,0.0,-1.6,50.05,0.25,58.20,579.82,0
ZINC08437938,-29.4924,16.6102,5.39244,-0.989931,0,0,-16.0767,837.107,0,0.693084,4,0.413215,0.771542,0.228458,3088,673,792,55,253,62,64,5,648,144,165,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,25,30,3,0,0,0,0,11.0,0.0,44.0,3.0,0.0,25.0,-81443.8070165,1.0,41.0,0.0,0.0,0.0,0.0,-5.3,42.24,0.43,68.82,659.54,0
ZINC02106958,-28.6223,6.46088,-0.488291,-3.37446,0,0,-29.9333,802.82,0,0.664789,4,0.439392,0.826743,0.173257,3465,795,931,53,385,85,98,8,314,78,82,4,0,0,0,0,0,0,0,0,80,18,18,1,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0.0,48.0,1.0,0.0,8.0,52087.5120881,0.0,31.0,0.0,0.0,0.0,0.0,-7.6,54.67,0.31,80.56,633.73,0
ZINC08437845,-32.4753,5.77057,3.55503,-2.81433,0,0,-29.7711,819.973,0,0.731576,7,0.41891,0.769483,0.230517,3798,841,1001,69,459,108,123,8,497,120,130,9,0,0,0,0,0,0,0,0,0,0,0,0,72,19,20,1,0,0,0,0,0,0,0,0,11.0,0.0,52.0,5.0,0.0,8.0,31737.2834858,1.0,31.0,0.0,0.0,0.0,0.0,-2.8,50.01,0.24,99.83,613.71,0
ZINC00616546,-27.9017,6.0923,3.93538,-6.45109,0,-0.633627,-26.2043,637.319,1,0.680161,6,0.323163,0.791109,0.208891,2691,594,700,52,217,45,56,4,685,154,175,11,0,0,0,0,0,0,0,0,205,48,55,3,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0.0,55.0,3.0,0.0,8.0,-28982.4499908,1.0,30.0,1.0,0.0,0.0,0.0,-1.5,37.02,0.07,74.68,396.03,0
ZINC08436990,-31.5395,8.13439,3.06843,-3.3029,0,-2.30475,-30.5683,880.922,2,0.668932,5,0.482215,0.797973,0.202027,4099,914,1090,61,526,117,140,10,677,149,172,10,0,0,0,0,0,0,0,0,82,18,22,2,0,0,0,0,0,0,0,0,0,0,0,0,26.0,0.0,58.0,1.0,0.0,8.0,10310.2095106,2.0,36.0,0.0,0.0,0.0,0.0,-3.5,80.73,0.24,118.97,815.81,0
ZINC00974188,-28.3882,4.62536,7.55592,-5.59077,-0.598849,0,-26.1257,822.726,1,0.657865,6,0.463982,0.755277,0.244723,3146,710,837,48,266,58,63,6,836,188,229,12,0,0,0,0,0,0,0,0,90,22,25,1,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0.0,56.0,1.0,0.0,17.0,-141600.475471,1.0,23.0,1.0,0.0,0.0,0.0,-4.9,65.40,0.33,104.35,717.85,0
ZINC08439342,-25.0465,4.11532,3.90276,-5.13643,0,-2.28995,-26.4724,652.242,2,0.654534,4,0.396032,0.807164,0.192836,2680,574,723,47,140,30,34,2,921,204,244,17,85,18,20,1,0,0,0,0,299,70,85,5,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,32.0,0.0,0.0,2.0,-44597.8288761,2.0,17.0,0.0,0.0,0.0,0.0,-5.0,59.47,0.10,109.77,560.38,0
ZINC00848995,-25.5624,3.74175,0.00762479,-1.71426,0,0,-26.2502,684.069,0,0.718356,5,0.536478,0.873576,0.126424,2900,653,776,52,622,144,172,11,380,81,97,7,0,0,0,0,0,0,0,0,0,0,0,0,110,27,27,2,0,0,0,0,0,0,0,0,11.0,0.0,47.0,4.0,0.0,4.0,-2888.01119656,0.0,26.0,1.0,0.0,0.0,0.0,-2.5,60.89,0.04,82.18,581.28,0
ZINC08433145,-39.5703,9.34357,0.054074,-0.412553,0,0,-34.9873,1014.59,0,0.705801,7,0.40308,0.77171,0.22829,4373,938,1113,84,159,36,40,3,262,59,64,4,0,0,0,0,0,0,0,0,486,111,139,8,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0.0,66.0,4.0,0.0,18.0,36524.6672422,0.0,44.0,1.0,0.0,0.0,0.0,-1.1,63.19,0.13,38.33,736.13,0
ZINC00662744,-31.0425,7.25317,4.53773,-4.45849,0,-1.52256,-28.885,746.355,1,0.684494,4,0.380054,0.739168,0.260832,3455,746,881,66,178,40,46,3,706,153,184,13,0,0,0,0,0,0,0,0,143,31,37,2,0,0,0,0,111,22,25,2,0,0,0,0,26.0,0.0,28.0,5.0,0.0,6.0,-34512.9528434,1.0,28.0,0.0,0.0,0.0,0.0,-.4,47.03,0.20,55.84,483.93,0
